family,candidate,functional_unit,reference_balanced_winner,joint_scenarios,first_rank_share_pct,mean_rank,mean_regret_score_points,worst_regret_score_points
aem-electrolyzer-oer,cr-doped-amorphous,$/cm2,True,162932,70.863919,1.550536,1.798814,27.0
aem-electrolyzer-oer,nico2o4-spinel,$/cm2,False,162932,16.679351,2.996624,22.553303,100.0
aem-electrolyzer-oer,nife-ldh-scalable,$/cm2,False,162932,0.824884,3.464697,25.39384,100.0
aem-electrolyzer-oer,nife-seed-assisted,$/cm2,False,162932,11.631846,1.988142,8.84585,37.5
ammonia-cracking,co-mgo-la2o3,$/lb,True,162932,43.114919,1.721774,1.974012,20.0
ammonia-cracking,ni-alumina-baseline,$/lb,False,162932,8.631208,2.757696,5.050524,33.0
ammonia-cracking,ni-mgo-ceo2-interface,$/lb,False,162932,28.08104,2.299628,3.352344,14.0
ammonia-cracking,ru-mgo-premium,$/lb,False,162932,20.172833,3.220902,21.438666,100.0
ammonia-synthesis,cs-co3mo3n,$/lb,True,162932,44.897258,1.775182,3.215709,22.0
ammonia-synthesis,fused-iron-baseline,$/lb,False,162932,32.378538,2.243243,6.129877,32.8
ammonia-synthesis,ru-cafh-lowtemp,$/lb,False,162932,5.76314,3.581187,26.698858,100.0
ammonia-synthesis,ru-graphite-kaap,$/lb,False,162932,16.961064,2.400388,13.365935,64.1
co-prox,au-tio2-nanogold,$/lb,False,162932,3.065082,2.808601,25.686673,100.0
co-prox,cuo-ceo2,$/lb,True,162932,23.572411,1.925024,3.815419,11.7
co-prox,pt-fe-alumina,$/lb,False,162932,73.362507,1.266375,0.857869,16.5
co2-electroreduction,ag-co-mea,$/lb,True,162932,95.642354,1.078266,0.013771,1.6
co2-electroreduction,au-co-co2rr,$/lb,False,162932,0.0,3.692829,25.258673,100.0
co2-electroreduction,cu-multicarbon-co2rr,$/lb,False,162932,3.114183,2.508887,3.09978,7.4
co2-electroreduction,sn-formate-co2rr,$/lb,False,162932,1.243464,2.720018,3.258786,8.0
co2-methanation,ni-alumina-baseline,$/lb,False,162932,41.578695,1.786193,1.326439,18.0
co2-methanation,ni-ceo2-lowtemp,$/lb,True,162932,48.368645,1.656685,1.010199,12.0
co2-methanation,ru-layered-titanate,$/lb,False,162932,9.777085,3.167726,25.360663,100.0
co2-methanation,ru-mnox-photothermal,$/lb,False,162932,0.275575,3.389396,25.638786,100.0
co2-methanol,cu-zrox-interface,$/lb,False,162932,32.569415,1.820502,2.596084,10.3
co2-methanol,cza-baseline,$/lb,True,162932,58.038936,1.680038,1.729091,17.0
co2-methanol,in2o3-zro2-lowtemp,$/lb,False,162932,1.889745,2.936612,9.493654,36.1
co2-methanol,pd-in2o3,$/lb,False,162932,7.501903,3.562848,24.94715,100.0
co2-to-formate,ir-pincer-co2fa,$/lb,False,162932,16.125746,3.340338,21.122435,100.0
co2-to-formate,pdag-ndcarbon-co2fa,$/lb,True,162932,46.253652,1.680302,1.586297,20.8
co2-to-formate,ru-pincer-co2fa,$/lb,False,162932,16.808853,2.379391,3.712584,25.7
co2-to-formate,ru-sa-ldh,$/lb,False,162932,20.81175,2.599968,3.819432,18.0
dry-reforming,ir-ceria-premium,$/lb,False,162932,11.019321,3.554575,23.866896,100.0
dry-reforming,ni-co-almgo,$/lb,True,162932,50.038666,1.594094,1.096953,11.0
dry-reforming,ni-single-atom-ceria,$/lb,False,162932,38.849336,1.843824,1.032218,8.2
dry-reforming,ni-zeolite-stable,$/lb,False,162932,0.092677,3.007506,2.782744,12.2
ethylene-epoxidation,ag-alumina-baseline,$/lb,False,162932,28.024575,2.046946,3.273494,22.0
ethylene-epoxidation,agcs-industrial,$/lb,True,162932,65.23028,1.347697,0.452342,6.0
ethylene-epoxidation,agcsre-modern,$/lb,False,162932,6.745145,3.511256,24.540056,100.0
ethylene-epoxidation,cu-ag-bimetallic,$/lb,False,162932,0.0,3.094101,14.336916,47.8
fischer-tropsch-synthesis,co-alumina-fts,$/lb,False,162932,65.833599,1.569397,2.123855,33.8
fischer-tropsch-synthesis,co-cnt-structured,$/lb,False,162932,0.0,3.86498,31.141323,100.0
fischer-tropsch-synthesis,fe-cu-k-precipitated,$/lb,False,162932,1.438637,2.799333,7.690089,26.4
fischer-tropsch-synthesis,fe-silica-lower-olefin,$/lb,True,162932,32.727764,1.766289,4.454245,22.3
formic-acid-dehydrogenation,aupd-mil101,$/lb,False,162932,0.0,3.70705,26.637276,100.0
formic-acid-dehydrogenation,co-nc-nonnoble,$/lb,True,162932,44.403187,1.981133,4.08303,25.1
formic-acid-dehydrogenation,pd-carbon-baseline,$/lb,False,162932,10.82783,2.748079,17.437258,100.0
formic-acid-dehydrogenation,ptmo-gasphase-premium,$/lb,False,162932,44.768983,1.563738,4.139336,44.0
fuel-cell-orr,fen-c-pgmfree-cathode,$/lb,True,162932,24.432278,2.602092,7.211542,22.3
fuel-cell-orr,ptc-baseline-cathode,$/lb,False,162932,28.83657,2.210309,5.186133,23.0
fuel-cell-orr,ptco-intermetallic-cathode,$/lb,False,162932,44.24668,1.656826,2.557361,22.7
fuel-cell-orr,ptni-octahedra,$/lb,False,162932,2.484472,3.530774,23.885794,100.0
glycerol-electrooxidation,au-c-glycerol-selectivity,$/lb,False,162932,0.0,3.138236,22.513718,100.0
glycerol-electrooxidation,niooh-glycerol-anode,$/lb,True,162932,75.7899,1.371971,0.596781,6.0
glycerol-electrooxidation,pt-bi-dha,$/lb,False,162932,0.0,3.731894,24.248826,100.0
glycerol-electrooxidation,pt-c-glycerol-anode,$/lb,False,162932,24.2101,1.757899,8.478644,44.6
hydrodeoxygenation,comos-hdo,$/lb,True,162932,89.07888,1.162663,0.155248,4.0
hydrodeoxygenation,nimo-carbon-hdo,$/lb,False,162932,0.0,2.591449,5.064318,10.0
hydrodeoxygenation,pt-silica-hdo,$/lb,False,162932,10.767682,2.493273,10.80175,77.9
hydrodeoxygenation,ru-carbon-hdo,$/lb,False,162932,0.153438,3.752615,25.906207,100.0
hydrogen-evolution-reaction,mos2-acidic-her-cathode,$/lb,False,162932,0.000614,2.907305,11.912627,28.0
hydrogen-evolution-reaction,nimo-alkaline-her-cathode,$/lb,True,162932,77.625021,1.334244,1.096093,11.6
hydrogen-evolution-reaction,pt-carbon-her-cathode,$/lb,False,162932,20.344684,2.782197,20.331811,100.0
hydrogen-evolution-reaction,ru-c2n-her,$/lb,False,162932,2.029681,2.976254,19.158318,100.0
methane-pyrolysis,activated-carbon-autocatalytic,$/lb,True,162932,51.345347,1.821717,3.222905,28.0
methane-pyrolysis,fe-alumina-pyrolysis,$/lb,False,162932,22.270641,2.191288,5.465572,31.7
methane-pyrolysis,molten-ni-bi,$/lb,False,162932,7.198095,3.498822,24.598324,100.0
methane-pyrolysis,ni-sio2-highload,$/lb,False,162932,19.185918,2.488173,10.302328,74.0
