family,candidate,functional_unit,reference_balanced_winner,joint_scenarios,first_rank_share_pct,mean_rank,mean_regret_score_points,worst_regret_score_points
methanol-to-olefins,hzsm5-mth,$/lb,True,162932,59.451182,1.523728,1.121324,8.0
methanol-to-olefins,nano-sapo-34,$/lb,False,162932,0.0,3.944676,29.197552,100.0
methanol-to-olefins,sapo-34-light-olefin,$/lb,False,162932,21.513269,2.52749,18.501336,86.9
methanol-to-olefins,zn-zsm5-aromatics,$/lb,False,162932,19.035549,2.004106,2.652612,10.7
nh3-scr,cu-ssz-13,$/lb,False,162932,5.858272,2.780086,26.512147,100.0
nh3-scr,fe-zsm-5,$/lb,False,162932,13.700808,2.024323,4.705903,16.0
nh3-scr,v2o5-wo3-tio2,$/lb,True,162932,80.44092,1.195591,0.53382,14.0
nitrogen-reduction-reaction,aqueous-nrr-cu,$/lb,False,162932,1.128078,2.839958,8.050166,18.0
nitrogen-reduction-reaction,li-flow-shuttle,$/lb,False,162932,0.0,3.912411,38.528252,100.0
nitrogen-reduction-reaction,li-mediated-nrr,$/lb,False,162932,94.640095,1.056379,0.085015,12.5
nitrogen-reduction-reaction,plasma-nrr,$/lb,True,162932,4.231827,2.191252,5.259843,54.3
olefin-metathesis,mo-silica-alumina,$/lb,False,162932,41.015884,1.631049,2.348811,10.4
olefin-metathesis,re2o7-alumina-mild,$/lb,False,162932,0.525373,3.4826,27.323028,100.0
olefin-metathesis,w-h-alumina,$/lb,False,162932,0.0,3.395564,16.098127,39.7
olefin-metathesis,wo3-silica-oct,$/lb,True,162932,58.458744,1.490788,2.147421,22.2
pem-electrolyzer-oer,iro2-tio2-supported,$/cm2,False,162932,17.108978,2.596273,21.869848,100.0
pem-electrolyzer-oer,pem-irox-baseline,$/cm2,False,162932,1.919819,3.668549,26.768888,100.0
pem-electrolyzer-oer,pem-low-ir-interface,$/cm2,True,162932,80.971203,1.255223,0.945229,14.0
pem-electrolyzer-oer,pem-ru-rich-acidic,$/cm2,False,162932,0.0,2.479955,6.424788,17.4
photocatalytic-co2-reduction,bivo4-visible,$/lb,False,162932,0.564653,2.892931,12.452294,46.5
photocatalytic-co2-reduction,cu2o-mof-co2,$/lb,False,162932,2.833697,3.783824,26.682903,100.0
photocatalytic-co2-reduction,gcn-sns2-zscheme,$/lb,False,162932,16.930376,1.929099,7.697695,30.5
photocatalytic-co2-reduction,tio2-photo-co2,$/lb,True,162932,79.671274,1.394146,0.960584,20.0
photocatalytic-water-splitting,gcn-metal-free,$/lb,False,162932,2.860703,2.955362,9.627052,28.0
photocatalytic-water-splitting,pt-tio2-cocatalyst,$/lb,True,162932,65.329708,1.472136,1.595181,27.5
photocatalytic-water-splitting,srtio3-al-qe-benchmark,$/lb,False,162932,10.397589,3.25707,23.857541,100.0
photocatalytic-water-splitting,tio2-anatase-baseline,$/lb,False,162932,21.412,2.315432,7.520504,36.0
propane-dehydrogenation,bn-odhp,$/lb,False,162932,0.006751,2.906427,13.151808,28.0
propane-dehydrogenation,crox-alumina-catofin,$/lb,True,162932,68.193479,1.510968,2.156255,17.4
propane-dehydrogenation,ptsn-alumina-pdh,$/lb,False,162932,30.306508,2.168211,15.379568,87.9
propane-dehydrogenation,ptzn-intermetallic-pdh,$/lb,False,162932,1.493261,3.414394,23.315185,100.0
rwgs,cs-fe-cu-alumina,$/lb,False,162932,0.327744,3.170169,7.2553,24.7
rwgs,cu-ceria-baseline,$/lb,True,162932,37.290403,1.839013,2.092583,15.0
rwgs,mo2n-hightemp,$/lb,False,162932,50.017799,1.614882,1.107046,9.0
rwgs,pt-tio2-premium,$/lb,False,162932,12.364054,3.375936,23.164245,100.0
selective-acetylene-hydrogenation,nizn-intermetallic,$/lb,True,162932,62.785702,1.807791,2.258202,16.0
selective-acetylene-hydrogenation,pd-alumina-baseline,$/lb,False,162932,6.947684,3.090173,20.100342,96.0
selective-acetylene-hydrogenation,pdag-bimetallic,$/lb,False,162932,10.779957,3.092118,20.502153,100.0
selective-acetylene-hydrogenation,pdcu-saa,$/lb,False,162932,19.486657,2.009918,7.924279,49.0
steam-methane-reforming,ni-calcium-aluminate,$/lb,True,162932,60.610561,1.477794,1.075605,14.0
steam-methane-reforming,rh-alumina-compact,$/lb,False,162932,12.068225,2.648946,24.190499,100.0
steam-methane-reforming,sn-ni-coking-resistant,$/lb,False,162932,27.321214,1.87326,3.905432,19.0
syngas-methanol,cza-industrial,$/lb,True,162932,91.912577,1.080874,0.102446,4.8
syngas-methanol,ga-promoted-cza,$/lb,False,162932,7.007831,2.021788,5.296788,18.4
syngas-methanol,pd-zno-intermetallic,$/lb,False,162932,1.079591,2.897338,29.949335,100.0
water-gas-shift,co-ceria-interface,$/lb,False,162932,46.424889,1.720331,1.362532,10.7
water-gas-shift,cu-zno-baseline,$/lb,True,162932,39.110181,1.737216,1.764493,16.0
water-gas-shift,fe-cr-hts,$/lb,False,162932,4.267424,3.13386,9.399519,30.2
water-gas-shift,pt-ceria-premium,$/lb,False,162932,10.197506,3.408594,24.345594,100.0
